May;June;July;October
-1.86;-1.46;-1.46;-0.16
-2.65;-2.46;-1.48;-0.47
-1.47;-1.23;-2.68;-0.77
-1.25;-1.22;-1.46;-0.71
-1.84;-1.80;-1.49;-0.57
-1.27;-1.10;-1.83;-0.88
-1.20;-1.37;-2.00;-0.54
-0.93;-1.06;-0.89;-0.58
-1.12;-1.24;-2.07;-0.82
