;P1;P2;P3;P4;P5;P6;P7;P8;P9
B1;0.04;0.04;0.04;0.04;0.04;0.05;0.03;0.04;0.03
B2;0.09;0.07;0.09;0.10;0.07;0.10;0.06;0.06;0.09
B3;0.10;0.06;0.07;0.08;0.05;0.09;0.04;0.07;0.07
B4;0.30;0.19;0.25;0.28;0.18;0.24;0.18;0.18;0.25
B5;0.43;0.29;0.40;0.42;0.34;0.37;0.32;0.26;0.36
