May;June;July;October
-0.56;-0.66;-0.1;0.07
-0.54;-1.17;0.12;-0.02
-0.19;-0.47;-0.44;-0.04
-0.36;-0.58;-0.22;-0.21
-0.65;-1.04;-0.05;-0.02
-0.31;-0.54;-0.44;-0.57
-0.34;-0.76;-0.1;-0.1
0.04;-0.37;0.29;-0.15
-0.18;-0.6;-0.62;-0.39
