;P1;P2;P3;P4;P5;P6;P7;P8;P9
B1;0.05;0.04;0.03;0.04;0.04;0.03;0.05;0.03;0.01
B2;0.07;0.10;0.09;0.11;0.08;0.09;0.07;0.07;0.01
B3;0.10;0.08;0.09;0.08;0.07;0.06;0.10;0.07;0.01
B4;0.29;0.28;0.28;0.31;0.23;0.24;0.21;0.22;0.03
B5;0.45;0.42;0.45;0.48;0.40;0.39;0.36;0.35;0.06
