Plot,Season,GEP (gCO2.m².hour-1),ER (gCO2.m².hour-1),NEE (gCO2.m².hour-1),B,G,R,RE,NIR,DOY,PAR,TEMP,BCC,BRI,BWDRVI,CIgreen,CVI,EVI,EVI2,GARI,GCC,GLI,GNDVI,LCI,NDRE,NDVI,OSAVI,RCC,RVI,SIPI,TVI
P4,June,-1.22,0.64,-0.58,0.02,0.07,0.04,0.21,0.36,166,0.45,18.08,0.15384615384615385,26.455026455026452,0.2857142857142857,4.142857142857142,2.938775510204081,0.5517241379310346,0.5494505494505495,0.8709677419354838,0.5384615384615385,0.39999999999999997,0.6744186046511628,0.375,0.2631578947368421,0.8,0.5714285714285715,0.3076923076923077,9.0,1.0624999999999998,1.140175425099138
P5,June,-1.8,0.75,-1.04,0.03,0.05,0.03,0.16,0.33,166,0.45,18.08,0.2727272727272727,41.666666666666664,0.04761904761904766,5.6,3.959999999999999,0.5836575875486382,0.5349500713266762,1.0,0.4545454545454546,0.25000000000000006,0.736842105263158,0.47222222222222227,0.34693877551020413,0.8333333333333335,0.576923076923077,0.2727272727272727,11.000000000000002,1.0,1.1547005383792517
P6,June,-1.1,0.55,-0.54,0.03,0.06,0.05,0.18,0.3,166,0.45,18.08,0.21428571428571425,37.037037037037045,0.0,4.0,4.166666666666667,0.4545454545454546,0.44014084507042256,0.846153846153846,0.4285714285714285,0.19999999999999998,0.6666666666666666,0.34285714285714286,0.25,0.7142857142857143,0.49019607843137253,0.35714285714285715,5.999999999999999,1.08,1.1019463300386796
P7,June,-1.37,0.62,-0.76,0.02,0.05,0.03,0.17,0.32,166,0.45,18.08,0.19999999999999998,44.11764705882353,0.23076923076923075,5.3999999999999995,3.839999999999999,0.5370370370370371,0.5208333333333335,0.9285714285714285,0.5,0.33333333333333337,0.7297297297297298,0.4285714285714286,0.30612244897959184,0.8285714285714287,0.5686274509803922,0.3,10.666666666666668,1.0344827586206895,1.1526367287968178
P8,June,-1.06,0.7,-0.37,0.02,0.06,0.04,0.17,0.28,166,0.45,18.08,0.16666666666666666,38.515406162464984,0.16666666666666674,3.666666666666667,3.1111111111111116,0.43795620437956206,0.4360465116279071,0.8333333333333333,0.49999999999999994,0.33333333333333326,0.6470588235294118,0.34375000000000006,0.24444444444444444,0.75,0.5000000000000001,0.3333333333333333,7.000000000000001,1.0833333333333333,1.118033988749895
P9,June,-1.24,0.63,-0.6,0.02,0.06,0.04,0.22,0.37,166,0.45,18.08,0.16666666666666666,32.76003276003276,0.2982456140350877,5.166666666666667,4.111111111111112,0.565068493150685,0.562755798090041,0.8787878787878787,0.49999999999999994,0.33333333333333326,0.7209302325581396,0.36585365853658536,0.2542372881355932,0.8048780487804879,0.5789473684210527,0.3333333333333333,9.25,1.0606060606060606,1.1423125880338043
P1,July,-1.46,1.36,-0.1,0.03,0.07,0.06,0.24,0.38,191,0.45,26.56,0.1875,26.629072681704255,0.11764705882352951,4.428571428571428,4.653061224489795,0.528052805280528,0.5249343832020997,0.8235294117647061,0.43750000000000006,0.21739130434782614,0.6888888888888889,0.31818181818181823,0.22580645161290325,0.7272727272727273,0.5333333333333333,0.375,6.333333333333334,1.09375,1.1078234188139946
P2,July,-1.48,1.6,0.12,0.03,0.07,0.05,0.21,0.35,191,0.45,26.56,0.19999999999999996,27.21088435374149,0.07692307692307689,3.999999999999999,3.571428571428571,0.5263157894736842,0.5102040816326531,0.8666666666666666,0.4666666666666666,0.27272727272727276,0.6666666666666666,0.35,0.25,0.75,0.5357142857142857,0.3333333333333333,6.999999999999999,1.0666666666666667,1.118033988749895
P4,July,-1.46,1.24,-0.22,0.03,0.08,0.05,0.23,0.38,191,0.45,26.56,0.1875,21.45308924485126,0.11764705882352951,3.75,2.96875,0.5670103092783505,0.55,0.8750000000000001,0.5,0.3333333333333333,0.6521739130434782,0.3488372093023256,0.2459016393442623,0.7674418604651163,0.5593220338983051,0.3125,7.6,1.0606060606060606,1.1258072039497333
P5,July,-1.49,1.44,-0.05,0.03,0.06,0.04,0.19,0.36,191,0.45,26.56,0.23076923076923075,31.67641325536063,0.09090909090909088,5.0,4.0,0.5818181818181818,0.5494505494505495,0.9354838709677419,0.4615384615384615,0.26315789473684204,0.7142857142857143,0.425,0.309090909090909,0.8,0.5714285714285715,0.3076923076923077,9.0,1.0312499999999998,1.140175425099138
