;P1;P2;P3;P4;P5;P6;P7;P8;P9
B1;0.02;0.02;0.02;0.02;0.03;0.03;0.02;0.02;0.02
B2;0.06;0.06;0.06;0.07;0.05;0.06;0.05;0.06;0.06
B3;0.05;0.04;0.04;0.04;0.03;0.05;0.03;0.04;0.04
B4;0.22;0.18;0.19;0.21;0.16;0.18;0.17;0.17;0.22
B5;0.35;0.30;0.34;0.36;0.33;0.30;0.32;0.28;0.37
